\c
Current Time: 2023-09-20 21:37  -0400 df \c
Current Time: 2023-09-20 21:38  -0400 fd |
Current Time: 2023-09-20 21:38  -0400 dd |
Current Time: 2023-09-20 21:46  -0400 df |
Current Time: 2023-09-20 21:49  -0400 ff |
Current Time: 2023-09-20 21:54  -0400 fd |
Current Time: 2023-09-20 22:07  -0400 dd |
Current Time: 2023-09-20 22:08  -0400 ds |
Current Time: 2023-09-20 22:10  -0400 cd |
Current Time: 2023-09-20 22:31  -0400 dd |
Current Time: 2023-09-21 17:00  -0400 leetcode |
Current Time: 2023-09-21 18:11  -0400 3mi lookaround |
Current Time: 2023-09-21 22:03  -0400 shellcode |
Current Time: 2023-09-22 00:09  -0400 test |
Current Time: 2023-09-22 01:15  -0400 kokogameproject |
Current Time: 2023-09-22 14:06  -0400 178 |
Current Time: 2023-09-22 14:35  -0400 haskel |
Current Time: 2023-09-22 18:46  -0400 3t0 |
Current Time: 2023-09-22 19:00  -0400 3t0 |
Current Time: 2023-09-22 19:02  -0400 3t03 |
Current Time: 2023-09-23 19:28  -0400 3t0reading |
Current Time: 2023-09-23 20:22  -0400 3t0reading |
Current Time: 2023-09-25 01:41  -0400 3t03 |
Current Time: 2023-09-25 02:22  -0400 3t03 00:00 |
Current Time: 2023-09-25 02:51  -0400 3t03 |
Current Time: 2023-09-25 03:16  -0400 3t03 |
	|
Current Time: 2023-09-27 03:03  -0400 3mi3 |
Current Time: 2023-09-27 03:28  -0400 genshin_stato |
Current Time: 2023-09-27 17:41  -0400 3t03 |
Current Time: 2023-09-27 18:23  -0400 4o03 |
Current Time: 2023-09-27 19:13  -0400 4o03 |
Current Time: 2023-09-27 19:51  -0400 3mi3 |
Current Time: 2023-09-27 20:51  -0400 gc3 |
Current Time: 2023-09-28 17:40  -0400 3t03 |
Current Time: 2023-09-28 18:08  -0400 3t03 |
Current Time: 2023-09-28 18:34  -0400 3t03 |
Current Time: 2023-09-28 19:04  -0400 3t03 |
|
Current Time: 2023-09-28 21:12  -0400 3ra3 |
Current Time: 2023-09-28 21:40  -0400 3t03 |
Current Time: 2023-10-01 18:31  -0400 chromeext |
Current Time: 2023-10-01 19:16  -0400 chromeext |
Current Time: 2023-10-01 20:04  -0400 3gc3 |
Current Time: 2023-10-01 20:41  -0400 3gc3 |
Current Time: 2023-10-01 21:45  -0400 3t03 |
Current Time: 2023-10-02 16:31  -0400 chromeext |
Current Time: 2023-10-02 17:54  -0400 3t03 00:00 completed |
Current Time: 2023-10-02 18:50  -0400 3t03 00:00 basis的定义，试图搞明白topology但是不回，目前lowerlimit，disc，indisc还没搞明白completed |
Current Time: 2023-10-02 19:47  -0400 3t03copytextbook 00:00 人惊喜的发现Tf 拓扑的我认知的不一样，阅读第五周的讲义前两页大概读懂了百分之三十completed |
Current Time: 2023-10-02 22:48  -0400 1ff3 |
Current Time: 2023-10-03 20:21  -0400 chromeext |
Current Time: 2023-10-03 20:35  -0400 chromeext 00:00 了解运行机制chromext试图安装课程环境未遂completed |
Current Time: 2023-10-04 01:29  -0400 3t03 00:00 看了第二周的一些基本定义 感觉题目还是不会 complementary finite topology 是什么的问题很难解决，我觉得我还是应该去上课，因为不上课，我也灭有好好学习，或者创造自己completed |
Current Time: 2023-10-04 03:53  -0400 3t03 00:00 看病白了几道题 到学校打印一下课件 一定要把定义搞清楚 很多分数能混到的 subspacetopology是什么completed |
Current Time: 2023-10-04 16:27  -0400 3t03 |
Current Time: 2023-10-04 16:59  -0400 3t03 00:00 打印topology4周的学习材料，基础概念复习到11页completed |
Current Time: 2023-10-04 19:49  -0400 3t03 00:00 12页看了一半completed |
Current Time: 2023-10-04 20:19  -0400 3t03 00:00 【没学完 忏悔completed |
Current Time: 2023-10-04 22:15  -0400 3t03 00:00 131514completed |
Current Time: 2023-10-04 22:59  -0400 3t03 |
Current Time: 2023-10-13 19:34  -0400 3t03 |
Current Time: 2023-10-13 20:05  -0400 3t03 00:00 说到底还是各种topolopy的定义明白了，但是性质还没明白completed |
Current Time: 2023-10-13 22:40  -0400 3t03 00:00 做第二题 感觉心散了注意力不能集中 简称不想学习completed |
Current Time: 2023-10-14 02:53  -0400 3t03 00:00 做了3 4做不出来 5还在看completed |
